,交易市场,股票名称,股票代码,当前价,涨跌额,涨跌幅%,年初至今,成交量,成交额(元),换手率,市盈率,股息率%,市值(元)
0,US,Zynex,ZYXI,11.91,-0.23,-1.8946,9.37,157974.0,1888661.0,0.49,39.075,,380282513.0
1,US,Zymeworks,ZYME,9.25,-0.11,-1.1752,-10.97,626135.0,5776415.0,0.89,,,652756054.0
2,US,TEST ZXZZT,ZXZZT,10.55,,,,,,,,,
3,US,正兴集团,ZX,1.38,,,,,,,19.714,,71242500.0
4,US,Zurn Elkay Water,ZWS,31.91,-0.29,-0.9006,8.77,813582.0,26023784.0,0.47,49.021,0.932,5524691229.0
5,US,TEST ZVZZT,ZVZZT,10.02,,,,,,,,,
6,US,ZyVersa Therapeutics,ZVSA,0.71,-0.04,-5.33,-21.11,358769.0,258708.0,4.72,,0.0,5392353.0
7,US,Zevra,ZVRA,4.8,-0.14,-2.834,-26.72,211667.0,1016194.0,0.49,,,208445693.0
8,US,Zovio,ZVO,0.0928,,,,,,,,,3175716.0
9,US,Zevia,ZVIA,1.03,-0.05,-4.6296,-48.76,112220.0,117885.0,0.16,,,74005536.0
10,US,Zura Bio,ZURA,3.36,0.49,17.07,-28.05,457685.0,1524101.0,1.05,,,146474758.0
11,US,祖睿,ZUO,8.6,-0.2,-2.2727,-8.51,1673993.0,14364599.0,1.15,,,1255546104.0
12,US,Zumiez,ZUMZ,14.64,-0.23,-1.5467,-28.02,190752.0,2803747.0,0.96,,,290358019.0
13,US,硕腾,ZTS,149.98,-12.75,-7.84,-23.84,11577741.0,1739537505.0,2.53,29.238,0.964,68532941806.0
14,US,中通快递,ZTO,19.26,-0.91,-4.5117,-6.7,3528087.0,68529698.0,0.43,12.951,3.074,15655811929.0
15,US,Zentek,ZTEK,1.19,0.06,5.3097,10.19,13248.0,15388.0,0.01,,,119975297.0
16,US,Zosano Pharma,ZSAN,0.5576,,,,,,,,,2733500.0
17,US,Zscaler,ZS,181.41,-3.37,-1.82,-18.12,1205378.0,218998470.0,0.8,,,27185735426.0
18,US,Zapata Computing,ZPTA,2.43,-0.07,-2.8,-82.13,13396972.0,40735702.0,46.05,,,70695696.0
19,US,ZOOZ Power,ZOOZ,3.15,-0.11,-3.3742,-23.17,97877.0,310596.0,0.85,17.737,,36395875.0
20,US,Zomedica,ZOM,0.135,-0.004,-2.89,-32.57,3128549.0,426822.0,0.32,,,132293205.0
21,US,Zoe's Kitchen,ZOES,12.76,,,,,,,,,250169459.0
22,US,Zentalis,ZNTL,13.41,0.0,0.0,-11.49,728570.0,9820271.0,1.03,,,951575813.0
23,US,南方航空,ZNH,33.08,,,,,,,,,11988792468.16
24,US,锡安石油和天然气,ZN,0.232,,,,,,,,,123855832.5
25,US,掌门教育,ZME,0.6001,,,,,,,,,12005191.0
26,US,Zoom Video通讯,ZM,61.63,-0.89,-1.42,-14.3,2717536.0,167896582.0,0.88,29.735,,18954901969.0
27,US,Zalatoris II,ZLS,10.85,-0.01,-0.0921,1.5,20208.0,219257.0,0.17,17.877,,130253783.0
28,US,再鼎医药,ZLAB,14.31,-0.7,-4.6636,-47.64,395686.0,5716600.0,0.4,,,1419677112.0
29,US,正康国际,ZKIN,0.6451,-0.0024,-0.3707,-34.17,12407.0,8197.0,0.04,,,19606486.0
30,US,震坤行,ZKH,14.78,-1.17,-7.3354,-9.38,80179.0,1215159.0,0.05,,,2380600219.0
31,US,中进医疗,ZJYL,3.1,-0.14,-4.32,-75.01,384073.0,1162170.0,0.25,149.459,0.0,485296010.0
32,US,Zivo Bioscience,ZIVO,8.0,0.0,0.0,566.67,3.0,21.02,0.0,,0.0,14556184.0
33,US,ZipRecruiter,ZIP,11.19,-0.15,-1.3228,-19.5,317342.0,3569687.0,0.32,22.58,,1108633349.0
34,US,ZIONS BANCORPORATION NA,ZIONZ,10.541,,,,,,,0.0,,0.0
35,US,齐昂银行,ZION,40.67,-0.59,-1.43,-6.32,1564036.0,63623386.0,1.06,8.828,3.989,6002852143.0
36,US,ZimVie,ZIMVV,38.0,,,,,,,522.0,,991800000.0
37,US,ZimVie,ZIMV,15.9,-1.04,-6.1393,-10.42,367211.0,5953292.0,1.35,,,432812978.0
38,US,以星综合航运,ZIM,10.1,-0.59,-5.52,2.33,3365187.0,34649727.0,2.8,,,1215240120.0
39,US,ZoomInfo,ZI,15.83,-0.43,-2.6445,-14.39,5892393.0,94329662.0,1.56,55.712,,5977854865.0
40,US,Zhone Technologies,ZHNE,1.19,,,,,,,,,40901800.0
41,US,知乎,ZH,0.6999,-0.0202,-2.8052,-25.26,445034.0,312838.0,0.07,,,419551796.0
42,US,Ermenegildo Zegna,ZGN,11.31,-0.36,-3.0848,-2.25,785304.0,8988518.0,0.31,21.88,0.934,2831009075.0
43,US,Zillow A股,ZG,43.71,-0.7,-1.5762,-22.94,315490.0,13875417.0,0.14,,,10204807777.0
44,US,ZeroFox Holdings,ZFOX,1.13,0.0,0.0,29.89,63280.0,71160.0,0.05,,,141072617.0
45,US,Zafgen,ZFGN,0.99,,,,,,,,,37094900.0
46,US,ZAIS FINL CORP,ZFC,13.3,,,,,,,,,117089000.0
47,US,Virtus Total Return Fund Inc.,ZF,11.22,,,,,,,2.535,13.07971,241532940.0
48,US,Lightning eMotors,ZEV,1.63,,,,,,,,0.0,10533733.0
49,US,LGHTNNG EMTR WNT,ZEV+,0.0199,,,,,,,,,
50,US,Olympic Steel,ZEUS,68.25,-1.47,-2.1084,2.55,37839.0,2589372.0,0.34,17.063,0.753,759795992.0
51,US,Zeta Global Holdings,ZETA,11.96,-0.22,-1.8062,35.6,1225400.0,14706567.0,0.56,,,2612264701.0
52,US,Ecoark控股,ZEST,0.1741,,,,,,,,,6557785.0
53,US,华米科技,ZEPP,0.9,-0.021,-2.2801,-36.62,83320.0,76672.0,0.14,,,54934289.0
54,US,Zeo Energy,ZEO,5.4,0.08,1.5038,-22.53,4845.0,26380.0,0.01,,,217387606.0
55,US,Zenvia,ZENV,2.45,0.08,3.38,107.63,34044.0,80645.0,0.08,,,102616952.0
56,US,Zedge,ZDGE,2.5,-0.05,-1.9608,6.38,46387.0,119134.0,0.32,,,36394575.0
57,US,Ziff Davis,ZD,53.78,-0.02,-0.0372,-19.96,421995.0,22575112.0,0.91,59.774,,2480795516.0
58,US,众巢医学,ZCMD,1.64,0.02,1.23,-53.29,7452.0,12009.0,0.29,,0.0,4268779.0
59,US,Zoomcar Holdings,ZCAR,0.3862,-0.0338,-8.0476,-89.53,140321.0,56810.0,0.22,4.483,,24282237.0
60,US,BATS TEST,ZBZX,0.05,,,,,,,,,
61,US,斑马技术,ZBRA,289.68,-7.86,-2.6417,5.98,221039.0,64076727.0,0.43,50.3,,14888836780.0
62,US,齐默巴奥米特控股,ZBH,124.48,-3.04,-2.3839,2.48,1048564.0,130641092.0,0.51,24.976,0.762,25575841420.0
63,US,致保科技,ZBAO,3.41,0.03,0.8876,-14.75,31283.0,108190.0,0.1,,,107415000.0
64,US,ZB-FL,ZB-FL,24.99,,,,,,,0.0,,0.0
65,US,"Zions Bancorporation, N.A. Dep Shs Repstg 1/40th Int Sh Ser H Perp Pfd Stk",ZB-H,25.78,,,,,,,24.543,5.60881,130163220.0
66,US,"Zions Bancorporation, N.A. Dep Shs Repstg 1/40th Perp Pfd Ser G",ZB-G,28.04,,,,,,,25.957,5.6471,192718920.0
67,US,"Zions Bancorporation, N.A. Depositary Shares (Each representing 1/40th Interest in a Share of Series A Floating-Rate Non-Cumulat",ZB-A,24.8275,,,,,,,22.333,4.08579,65544600.0
68,US,Zayo集团控股,ZAYO,34.99,,,,,,,46.973,,8314158297.0
69,US,Zapp Electric,ZAPP,0.2604,0.0,0.0,-1.51,57629.0,14484.0,0.09,,,16282595.0
70,US,ZAIS Group Holdings,ZAIS,4.09,,,,,,,,,141588977.88
71,US,ZAGG,ZAGG,4.29,,,,,,,,,130621933.0
72,US,PUBLIC STORAGE DEP SHS REPR 6.00% CUM PRF BEN INT SER Z,PSA-Z.CL,24.99,,,,,,,,5.99042,287385000.0
73,US,Public Storage Dep Shs Representing 1/1000th Pfd Sh Ben Int Ser Z,PSA-Z,25.37,,,,,,,0.0,5.91028,291755000.0
74,US,Zillow,Z,44.42,-0.84,-1.86,-23.23,2302176.0,102841669.0,0.99,,,10370568782.0
75,US,欢聚时代,YY,32.9,-1.09,-3.2068,-17.13,547074.0,18133853.0,0.9,6.635,4.007,2002545981.0
76,US,Liquid Media,YVR,0.43,,,,,,,,0.0,2076129.0
77,US,Yume,YUME,3.7,,,,,,,14.8,,129300488.6
78,US,百胜中国,YUMC,37.34,-1.26,-3.2642,-11.67,2000837.0,75319226.0,0.51,17.751,1.487,14680402958.0
79,US,Yuma Energy,YUMA,1.55,,,,,,,,,2405583.0
80,US,YUM! Brands,YUM,137.8,-0.53,-0.3831,5.99,1950370.0,268515597.0,0.69,24.29,1.79,38790700000.0
81,US,Yatra Online,YTRA,1.52,0.04,2.7027,-6.75,125995.0,191758.0,0.2,,,97840518.0
82,US,Yield10 Bioscience,YTEN,0.3102,-0.0098,-3.0625,29.63,427780.0,135352.0,2.78,,,4777609.0
83,US,逸仙电商,YSG,3.01,-0.03,-0.9868,-17.71,217407.0,659482.0,0.2,,0.0,324194913.0
84,US,YELLWSTN ACQ WNT,YSAC+,0.55,,,,,,,,,
85,US,依生生物,YS,0.86,-0.0049,-0.5665,68.3,57470.0,50402.0,0.03,,,161962045.0
86,US,宜人金科,YRD,5.15,-0.13,-2.4621,65.06,157194.0,833125.0,0.18,1.588,,456356687.0
87,US,耶路全球,YRCW,5.11,,,,,,,,,272265169.0
88,US,一起教育科技,YQ,2.6,-0.1276,-4.6781,25.6,2128.0,5579.0,0.02,,0.0,25305254.0
89,US,阿根廷YPF,YPF,21.17,-0.44,-2.04,23.15,2039840.0,43416205.0,0.52,,,8326431828.0
90,US,Clear Secure,YOU,19.37,-0.42,-2.12,-4.28,968248.0,18900275.0,0.64,103.801,6.695,2917633910.0
91,US,Yotta Acquisition,YOTA,10.6147,0.0,0.0,2.56,85.0,896.0,0.0,38.272,,41873240.0
92,US,Yoshiharu Global,YOSH,3.6999,-0.1201,-3.144,-31.86,4105.0,15345.0,0.31,,0.0,4921777.0
93,US,The York Water,YORW,34.04,-0.43,-1.2475,-11.33,73037.0,2491179.0,0.51,20.539,2.396,487935589.0
94,US,Yandex,YNDX,18.94,,,0.0,,,,32.353,,6848249288.0
95,US,Yumanity,YMTX,1.89,,,,,,,,0.0,20518760.0
96,US,满帮,YMM,7.71,-0.34,-4.2236,12.15,8307607.0,65068469.0,0.78,26.992,1.789,8252942279.0
97,US,Y-mAbs Therapeutics,YMAB,14.37,-0.26,-1.7772,110.7,237905.0,3420545.0,0.54,,,629076999.0
98,US,YieldCo&可再生能源ETF-GlobalX,YLCO,18.14,,,,,,,0.0,2.0286389807668751e-07,32652000.0
99,US,云集,YJ,0.88,0.0639,7.8299,23.79,10832.0,9005.0,0.06,,0.0,17301590.0
100,US,银科控股,YIN,7.25,,,,,,,33.09,,529856100.0
101,US,星图国际,YIBO,2.34,0.09,4.0,-41.5,5118.0,11605.0,0.01,15.857,,126082944.0
102,US,1药网,YI,1.1,0.03,2.8037,-29.03,30104.0,32493.0,0.04,,,92392565.0
103,US,运鸿绿色CTI,YHGJ,1.51,-0.08,-5.0314,-29.35,2447.0,3707.0,0.01,,,31365625.0
104,US,盛世乐居,YGTY,0.67,,,,,,,,,6602782.0
105,US,MLP分布增长流动指数,YGRO,10.94,,,,,,,0.0,,12565100.0
106,US,明珠货运,YGMZ,0.4,0.0089,2.2756,-14.89,60306.0,23470.0,0.26,,,9184111.0
107,US,燕谷坊,YGF,0.733277,0.0,0.0,-74.27,,,,5.499,,23831503.0
108,US,英利绿色能源,YGE,1.4301,,,,,,,,,25994037.0
109,US,Yext,YEXT,5.7,-0.02,-0.3497,-3.23,524603.0,2981857.0,0.42,,,711742430.0
110,US,YETI Holdings,YETI,37.86,-0.9,-2.322,-26.88,1478623.0,56098438.0,1.74,18.992,,3226498446.0
111,US,武汉长江发展,YERR,3.12,,,,,,,,,537713280.0
112,US,Yelp,YELP,40.61,0.5,1.2466,-14.22,928434.0,37804120.0,1.36,27.96,,2772897623.0
113,US,Yellow,YELL,1.1,,,,,,,,,57341776.0
114,US,cbdMD,YCBD,0.915,-0.105,-10.2941,-12.02,67949.0,64100.0,2.23,,0.0,2786259.0
