primary,code,name,open,pre_close,price,high,low,买入价格,买入数量,卖出价格,卖出数量,交易规则,执行结果,选中
sh,000001,上证指数,2965.7759,3004.1409,3027.1692,3043.7789,2957.3968,,,,,,,True
cyb,399006,创业板指,2192.058,2228.073,2268.664,2287.868,2187.438,,,,,,,
hs300,000300,沪深300,3820.6278,3877.4364,3907.4150,3932.6823,3808.5699,,,,,,,
300750,300750,宁德时代,359.300,368.500,378.540,385.000,357.140,,,,,,,
603799,603799,华友钴业,75.030,77.170,79.960,80.660,74.990,,,,,买入,,
603659,603659,璞泰来,119.200,119.250,125.210,127.490,117.520,,,,,,,
600905,600905,三峡能源,5.640,5.700,5.850,5.890,5.600,,,,,,,
000723,000723,美锦能源,10.000,10.160,10.330,10.500,9.860,,,,,,,
300474,300474,景嘉微,83.400,85.790,86.520,89.500,82.860,,,,,,,True
600584,600584,长电科技,22.600,22.960,23.430,23.650,22.510,,,,,,,
600845,600845,宝信软件,48.630,48.880,50.380,50.500,48.110,,,,,,,
003031,003031,中瓷电子,72.250,71.600,76.990,77.770,70.030,82.0,,,,买入,,True
600019,600019,宝钢股份,6.020,6.060,5.940,6.020,5.870,,,,,,,
300748,300748,金力永磁,26.330,27.020,26.870,27.180,26.300,,,,,,,
600519,600519,贵州茅台,1720.000,1752.000,1775.010,1784.960,1705.010,,,,,,,
300973,300973,立高食品,67.400,67.280,67.910,69.980,66.180,,,,,,,
000333,000333,美的集团,55.230,56.360,56.150,56.890,55.000,,,,,,,
002475,002475,立讯精密,27.760,28.290,29.060,29.190,27.200,,,,,,,
300957,300957,贝泰妮,181.880,185.150,187.130,190.830,179.290,,,,,,,
600765,600765,中航重机,38.920,39.700,39.200,40.850,38.800,48.0,1000.0,,,买入,,
301050,301050,雷电微力,157.060,158.500,158.730,164.980,154.480,,,,,买入,,
300482,300482,万孚生物,44.200,44.920,44.620,45.130,43.290,,,,,先卖后买,,
603882,603882,金域医学,84.500,84.490,82.560,86.950,80.680,,,,,先卖后买,,
603259,603259,药明康德,91.960,93.630,96.990,98.650,91.180,,,,,先卖后买,,
601100,601100,恒立液压,45.710,46.320,46.730,46.900,45.110,,,,,先卖后买,,
600039,600039,四川路桥,10.090,10.230,10.350,10.490,9.910,,,,,先卖后买,,
600406,600406,国电南瑞,32.220,31.910,32.100,32.930,31.500,44.0,,,,先卖后买,,
600036,600036,招商银行,35.980,36.470,36.710,37.160,35.260,,,,,,,
300059,300059,东方财富,21.260,21.500,21.830,22.070,21.170,,,,,,,
600346,600346,恒力石化,23.690,23.960,22.610,23.690,22.210,,,,,买入,,
601689,601689,拓普集团,50.500,51.600,52.680,54.040,50.080,,,,,,,
300969,300969,恒帅股份,57.000,58.390,58.660,60.340,55.880,,,,,先卖后买,,
688280,688280,精进电动,9.030,9.340,9.230,9.350,9.030,,,,,买入,,
002049,002049,紫光国微,187.900,189.960,183.380,193.200,183.380,,,,,买入,,
002138,002138,顺络电子,23.800,24.070,24.870,25.180,23.680,,,,,先卖后买,,
000997,000997,新 大 陆,11.980,12.120,12.330,12.480,11.900,,,,,买入,,
002001,002001,新 和 成,25.980,26.240,25.980,26.200,25.730,,,,,先卖后买,,
600460,600460,士兰微,40.000,40.830,42.640,43.800,39.970,,,,,先卖后买,,
601166,601166,兴业银行,19.470,19.620,19.870,20.070,19.330,,,,,,,
603355,603355,莱克电气,22.070,21.860,22.210,22.380,21.500,,,,,,,
300119,300119,瑞普生物,15.990,16.080,16.140,16.250,15.730,,,,,,,
601155,601155,新城控股,23.980,24.260,24.060,24.620,23.050,,,,,,,
002415,002415,海康威视,34.200,34.880,34.200,34.680,33.400,nan,,,,,,
